step,entity_id,entity_type,x,y,speed,edge_id,lane_id
153,veh_45,vehicle,8.126980108304416,1.75,4.787630152781494,1.0.00,1.0.00_0
153,veh_46,vehicle,22.809285983791582,1.75,4.501713248237968,1.0.00,1.0.00_0
153,veh_47,vehicle,35.54973827395165,1.75,4.394668490868061,1.0.00,1.0.00_0
153,veh_48,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
154,veh_45,vehicle,3.3474948362610277,1.75,4.779485272043385,1.0.00,1.0.00_0
154,veh_46,vehicle,18.577822514773352,1.75,4.2314634690182285,1.0.00,1.0.00_0
154,veh_47,vehicle,32.14424293351868,1.75,3.405495340432971,1.0.00,1.0.00_0
154,veh_48,vehicle,43.540815226559765,1.75,1.3591847734402362,1.0.00,1.0.00_0
155,veh_46,vehicle,13.929402024087501,1.75,4.648420490685851,1.0.00,1.0.00_0
155,veh_47,vehicle,28.309741410753183,1.75,3.8345015227654944,1.0.00,1.0.00_0
155,veh_48,vehicle,40.63817774356292,1.75,2.9026374829968407,1.0.00,1.0.00_0
156,veh_46,vehicle,9.217980856550867,1.75,4.711421167536638,1.0.00,1.0.00_0
156,veh_47,vehicle,23.918916654764168,1.75,4.390824755989015,1.0.00,1.0.00_0
156,veh_48,vehicle,36.4167294075307,1.75,4.2214483360322195,1.0.00,1.0.00_0
156,veh_49,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
157,veh_46,vehicle,5.233884860153317,1.75,3.9840959963975475,1.0.00,1.0.00_0
157,veh_47,vehicle,20.640845885575242,1.75,3.278070769188925,1.0.00,1.0.00_0
157,veh_48,vehicle,32.57328990737764,1.75,3.843439500153065,1.0.00,1.0.00_0
157,veh_49,vehicle,44.28169397197782,1.75,0.6183060280221777,1.0.00,1.0.00_0
158,veh_46,vehicle,1.344513243584899,1.75,3.8893716165684165,1.0.00,1.0.00_0
158,veh_47,vehicle,16.28329287012616,1.75,4.357553015449084,1.0.00,1.0.00_0
158,veh_48,vehicle,29.183035743050702,1.75,3.390254164326936,1.0.00,1.0.00_0
158,veh_49,vehicle,41.6702015270363,1.75,2.6114924449415207,1.0.00,1.0.00_0
159,veh_47,vehicle,12.006676655807958,1.75,4.2766162143182,1.0.00,1.0.00_0
159,veh_48,vehicle,25.59828657593807,1.75,3.5847491671126335,1.0.00,1.0.00_0
159,veh_49,vehicle,37.87436354804276,1.75,3.7958379789935432,1.0.00,1.0.00_0
160,veh_47,vehicle,7.65083337796429,1.75,4.355843277843668,1.0.00,1.0.00_0
160,veh_48,vehicle,21.78585601939769,1.75,3.8124305565403773,1.0.00,1.0.00_0
160,veh_49,vehicle,34.820836251826535,1.75,3.0535272962162274,1.0.00,1.0.00_0
160,veh_50,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
161,veh_47,vehicle,3.8804332502795944,1.75,3.770400127684697,1.0.00,1.0.00_0
161,veh_48,vehicle,17.410041910681365,1.75,4.375814108716324,1.0.00,1.0.00_0
161,veh_49,vehicle,31.75768978222603,1.75,3.0631464696004995,1.0.00,1.0.00_0
161,veh_50,vehicle,43.15535333163661,1.75,1.7446466683633868,1.0.00,1.0.00_0
162,veh_47,vehicle,0.1761367163438905,1.75,3.704296533935703,1.0.00,1.0.00_0
162,veh_48,vehicle,13.112208801613612,1.75,4.297833109067753,1.0.00,1.0.00_0
162,veh_49,vehicle,27.849636789663265,1.75,3.908052992562764,1.0.00,1.0.00_0
162,veh_50,vehicle,39.381913953686634,1.75,3.7734393779499764,1.0.00,1.0.00_0
163,veh_48,vehicle,9.848376833703789,1.75,3.2638319679098204,1.0.00,1.0.00_0
163,veh_49,vehicle,24.00104560910029,1.75,3.848591180562974,1.0.00,1.0.00_0
163,veh_50,vehicle,35.643330286042335,1.75,3.738583667644301,1.0.00,1.0.00_0
163,veh_51,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
164,veh_48,vehicle,6.173866538105024,1.75,3.674510295598768,1.0.00,1.0.00_0
164,veh_49,vehicle,19.8602358910018,1.75,4.140809718098492,1.0.00,1.0.00_0
164,veh_50,vehicle,32.60998661934541,1.75,3.033343666696921,1.0.00,1.0.00_0
164,veh_51,vehicle,43.931099429996976,1.75,0.9689005700030242,1.0.00,1.0.00_0
165,veh_48,vehicle,3.010946504380044,1.75,3.1629200337249785,1.0.00,1.0.00_0
165,veh_49,vehicle,16.550195895160115,1.75,3.3100399958416826,1.0.00,1.0.00_0
165,veh_50,vehicle,28.86257012526834,1.75,3.747416494077071,1.0.00,1.0.00_0
165,veh_51,vehicle,41.119754898087706,1.75,2.8113445319092714,1.0.00,1.0.00_0
