step,entity_id,entity_type,x,y,speed,edge_id,lane_id
18,veh_3,vehicle,12.592234381686751,1.75,4.94975161535396,1.0.00,1.0.00_0
18,veh_4,vehicle,26.195505754583248,1.75,5.022695880940895,1.0.00,1.0.00_0
18,veh_5,vehicle,41.06994497746628,1.75,3.0183509683775345,1.0.00,1.0.00_0
19,veh_3,vehicle,8.039379485499367,1.75,4.552854896187383,1.0.00,1.0.00_0
19,veh_4,vehicle,22.008066841731733,1.75,4.1874389128515155,1.0.00,1.0.00_0
19,veh_5,vehicle,37.06647061046342,1.75,4.00347436700286,1.0.00,1.0.00_0
19,veh_6,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
20,veh_3,vehicle,2.9251762987335255,1.75,5.114203186765844,1.0.00,1.0.00_0
20,veh_4,vehicle,17.302874401194217,1.75,4.705192440537515,1.0.00,1.0.00_0
20,veh_5,vehicle,33.631899775386316,1.75,3.434570835077107,1.0.00,1.0.00_0
20,veh_6,vehicle,44.60328794864249,1.75,0.29671205135750967,1.0.00,1.0.00_0
21,veh_4,vehicle,12.945690407564328,1.75,4.35718399362989,1.0.00,1.0.00_0
21,veh_5,vehicle,30.396661407054022,1.75,3.235238368332289,1.0.00,1.0.00_0
21,veh_6,vehicle,42.68453452277017,1.75,1.9187534258723205,1.0.00,1.0.00_0
22,veh_4,vehicle,8.591282117887083,1.75,4.3544082896772425,1.0.00,1.0.00_0
22,veh_5,vehicle,27.402821481235044,1.75,2.9938399258189796,1.0.00,1.0.00_0
22,veh_6,vehicle,38.85707028754318,1.75,3.827464235226991,1.0.00,1.0.00_0
23,veh_4,vehicle,4.1059637612289706,1.75,4.485318356658111,1.0.00,1.0.00_0
23,veh_5,vehicle,23.281015788060426,1.75,4.121805693174616,1.0.00,1.0.00_0
23,veh_6,vehicle,35.35093234843267,1.75,3.5061379391105096,1.0.00,1.0.00_0
23,veh_7,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
24,veh_5,vehicle,20.148652956361797,1.75,3.1323628316986336,1.0.00,1.0.00_0
24,veh_6,vehicle,31.0562696478914,1.75,4.294662700541269,1.0.00,1.0.00_0
24,veh_7,vehicle,43.322756172046546,1.75,1.5772438279534524,1.0.00,1.0.00_0
25,veh_5,vehicle,17.019008634233856,1.75,3.1296443221279384,1.0.00,1.0.00_0
25,veh_6,vehicle,28.865047969814306,1.75,2.191221678077097,1.0.00,1.0.00_0
25,veh_7,vehicle,39.739657491129854,1.75,3.583098680916691,1.0.00,1.0.00_0
26,veh_5,vehicle,13.24516498684521,1.75,3.7738436473886443,1.0.00,1.0.00_0
26,veh_6,vehicle,25.08400409456157,1.75,3.7810438752527347,1.0.00,1.0.00_0
26,veh_7,vehicle,36.61672949123188,1.75,3.122927999897977,1.0.00,1.0.00_0
26,veh_8,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
27,veh_5,vehicle,9.613526382174541,1.75,3.631638604670666,1.0.00,1.0.00_0
27,veh_6,vehicle,21.429726895345482,1.75,3.654277199216091,1.0.00,1.0.00_0
27,veh_7,vehicle,33.858177230429845,1.75,2.758552260802034,1.0.00,1.0.00_0
27,veh_8,vehicle,44.188719666719585,1.75,0.7112803332804151,1.0.00,1.0.00_0
28,veh_5,vehicle,5.751696727592794,1.75,3.861829654581748,1.0.00,1.0.00_0
28,veh_6,vehicle,17.81446111476255,1.75,3.6152657805829325,1.0.00,1.0.00_0
28,veh_7,vehicle,30.13497778361177,1.75,3.7231994468180742,1.0.00,1.0.00_0
28,veh_8,vehicle,42.30513274978475,1.75,1.8835869169348376,1.0.00,1.0.00_0
29,veh_5,vehicle,1.9984646339364573,1.75,3.753232093656339,1.0.00,1.0.00_0
29,veh_6,vehicle,14.258921866815783,1.75,3.5555392479467653,1.0.00,1.0.00_0
29,veh_7,vehicle,26.941144837469373,1.75,3.193832946142396,1.0.00,1.0.00_0
29,veh_8,vehicle,38.88008855512725,1.75,3.4250441946574948,1.0.00,1.0.00_0
30,veh_6,vehicle,10.644856938912852,1.75,3.6140649279029287,1.0.00,1.0.00_0
30,veh_7,vehicle,23.385251433113886,1.75,3.555893404355487,1.0.00,1.0.00_0
30,veh_8,vehicle,34.58269848866067,1.75,4.297390066466585,1.0.00,1.0.00_0
30,veh_9,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
31,veh_6,vehicle,5.611724554670083,1.75,5.033132384242772,1.0.00,1.0.00_0
31,veh_7,vehicle,19.152759727554482,1.75,4.232491705559409,1.0.00,1.0.00_0
31,veh_8,vehicle,30.975580739778763,1.75,3.607117748881905,1.0.00,1.0.00_0
31,veh_9,vehicle,42.57121332597453,1.75,2.328786674025469,1.0.00,1.0.00_0
