step,entity_id,entity_type,x,y,speed,edge_id,lane_id
166,veh_49,vehicle,13.034769331750908,1.75,3.5162318739644727,1.0.00,1.0.00_0
166,veh_50,vehicle,25.338208809365447,1.75,3.5246289975844363,1.0.00,1.0.00_0
166,veh_51,vehicle,36.681913510741445,1.75,4.438101341630551,1.0.00,1.0.00_0
166,veh_52,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
167,veh_49,vehicle,10.001798467837212,1.75,3.032970863913699,1.0.00,1.0.00_0
167,veh_50,vehicle,21.395707502026408,1.75,3.9425013073390387,1.0.00,1.0.00_0
167,veh_51,vehicle,33.67646761139382,1.75,3.005445899347625,1.0.00,1.0.00_0
167,veh_52,vehicle,44.33097449901233,1.75,0.5690255009876729,1.0.00,1.0.00_0
168,veh_49,vehicle,6.1005278002502195,1.75,3.9012706675869886,1.0.00,1.0.00_0
168,veh_50,vehicle,18.47044154141092,1.75,2.9252659606154876,1.0.00,1.0.00_0
168,veh_51,vehicle,29.79445717656298,1.75,3.882010434830843,1.0.00,1.0.00_0
168,veh_52,vehicle,41.22002556871988,1.75,3.1109489302924445,1.0.00,1.0.00_0
169,veh_49,vehicle,2.4399147968467574,1.75,3.6606130034034616,1.0.00,1.0.00_0
169,veh_50,vehicle,14.209586204607348,1.75,4.260855336803575,1.0.00,1.0.00_0
169,veh_51,vehicle,26.023080447440904,1.75,3.771376729122074,1.0.00,1.0.00_0
169,veh_52,vehicle,37.796852664860545,1.75,3.4231729038593377,1.0.00,1.0.00_0
170,veh_50,vehicle,10.440872317710728,1.75,3.7687138868966175,1.0.00,1.0.00_0
170,veh_51,vehicle,22.9363958355685,1.75,3.0866846118723985,1.0.00,1.0.00_0
170,veh_52,vehicle,33.78581224792444,1.75,4.0110404169361,1.0.00,1.0.00_0
170,veh_53,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
171,veh_50,vehicle,6.518073710082305,1.75,3.922798607628424,1.0.00,1.0.00_0
171,veh_51,vehicle,18.228716056450807,1.75,4.707679779117696,1.0.00,1.0.00_0
171,veh_52,vehicle,31.50810791449,1.75,2.2777043334344427,1.0.00,1.0.00_0
171,veh_53,vehicle,42.866590921161695,1.75,2.0334090788383037,1.0.00,1.0.00_0
172,veh_50,vehicle,2.3452442591456872,1.75,4.17282945093662,1.0.00,1.0.00_0
172,veh_51,vehicle,14.565639868079892,1.75,3.6630761883709155,1.0.00,1.0.00_0
172,veh_52,vehicle,27.391633534900592,1.75,4.116474379589411,1.0.00,1.0.00_0
172,veh_53,vehicle,39.70985348398548,1.75,3.1567374371762114,1.0.00,1.0.00_0
173,veh_51,vehicle,11.17017421170317,1.75,3.3954656563767243,1.0.00,1.0.00_0
173,veh_52,vehicle,22.806594566189197,1.75,4.5850389687113955,1.0.00,1.0.00_0
173,veh_53,vehicle,35.69404374800858,1.75,4.015809735976905,1.0.00,1.0.00_0
173,veh_54,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
174,veh_51,vehicle,6.011050176450155,1.75,5.159124035253011,1.0.00,1.0.00_0
174,veh_52,vehicle,19.273255673699012,1.75,3.533338892490187,1.0.00,1.0.00_0
174,veh_53,vehicle,31.251429093396176,1.75,4.442614654612403,1.0.00,1.0.00_0
174,veh_54,vehicle,44.00907244470614,1.75,0.8909275552938583,1.0.00,1.0.00_0
175,veh_51,vehicle,0.3990309563812815,1.75,5.6120192200688725,1.0.00,1.0.00_0
175,veh_52,vehicle,14.247662983157227,1.75,5.025592690541786,1.0.00,1.0.00_0
175,veh_53,vehicle,27.156642453484167,1.75,4.094786639912008,1.0.00,1.0.00_0
175,veh_54,vehicle,40.64668741226552,1.75,3.362385032440618,1.0.00,1.0.00_0
176,veh_52,vehicle,9.60054917090956,1.75,4.647113812247668,1.0.00,1.0.00_0
176,veh_53,vehicle,22.83556768875245,1.75,4.3210747647317165,1.0.00,1.0.00_0
176,veh_54,vehicle,36.62647466964823,1.75,4.0202127426172956,1.0.00,1.0.00_0
176,veh_55,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
177,veh_52,vehicle,4.605213135644526,1.75,4.995336035265033,1.0.00,1.0.00_0
177,veh_53,vehicle,18.743661643423255,1.75,4.0919060453292015,1.0.00,1.0.00_0
177,veh_54,vehicle,32.10868242089818,1.75,4.517792248750047,1.0.00,1.0.00_0
177,veh_55,vehicle,44.24607357023533,1.75,0.6539264297646656,1.0.00,1.0.00_0
178,veh_52,vehicle,0.5019760917428044,1.75,4.103237043901723,1.0.00,1.0.00_0
178,veh_53,vehicle,13.393517685547238,1.75,5.350143957876011,1.0.00,1.0.00_0
178,veh_54,vehicle,27.313745065965698,1.75,4.794937354932482,1.0.00,1.0.00_0
178,veh_55,vehicle,42.28244821367353,1.75,1.963625356561802,1.0.00,1.0.00_0
