step,entity_id,entity_type,x,y,speed,edge_id,lane_id
45,veh_10,vehicle,1.3392695066331655,1.75,5.0560689363161355,1.0.00,1.0.00_0
45,veh_11,vehicle,14.50060801287266,1.75,4.258422450765061,1.0.00,1.0.00_0
45,veh_12,vehicle,26.442828180795644,1.75,4.364822364686226,1.0.00,1.0.00_0
45,veh_13,vehicle,39.019294327007586,1.75,4.083940547216229,1.0.00,1.0.00_0
46,veh_11,vehicle,9.565311496617177,1.75,4.935296516255485,1.0.00,1.0.00_0
46,veh_12,vehicle,22.28320574255186,1.75,4.159622438243786,1.0.00,1.0.00_0
46,veh_13,vehicle,35.28304677422349,1.75,3.7362475527840946,1.0.00,1.0.00_0
46,veh_14,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
47,veh_11,vehicle,5.039260453787527,1.75,4.526051042829649,1.0.00,1.0.00_0
47,veh_12,vehicle,17.931352380691003,1.75,4.351853361860857,1.0.00,1.0.00_0
47,veh_13,vehicle,30.523418931398055,1.75,4.759627842825438,1.0.00,1.0.00_0
47,veh_14,vehicle,43.17623230138088,1.75,1.7237676986191244,1.0.00,1.0.00_0
48,veh_11,vehicle,0.5627631649755642,1.75,4.476497288811961,1.0.00,1.0.00_0
48,veh_12,vehicle,14.230822669234954,1.75,3.7005297114560483,1.0.00,1.0.00_0
48,veh_13,vehicle,26.404254686957866,1.75,4.119164244440188,1.0.00,1.0.00_0
48,veh_14,vehicle,39.6163908458453,1.75,3.559841455535573,1.0.00,1.0.00_0
49,veh_12,vehicle,9.796283717658469,1.75,4.4345389515764815,1.0.00,1.0.00_0
49,veh_13,vehicle,22.631179464023365,1.75,3.773075222934503,1.0.00,1.0.00_0
49,veh_14,vehicle,35.93412850158856,1.75,3.6822623442567446,1.0.00,1.0.00_0
49,veh_15,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
50,veh_12,vehicle,5.165547826960989,1.75,4.630735890697482,1.0.00,1.0.00_0
50,veh_13,vehicle,18.62572639694712,1.75,4.005453067076245,1.0.00,1.0.00_0
50,veh_14,vehicle,31.48990060249561,1.75,4.444227899092951,1.0.00,1.0.00_0
50,veh_15,vehicle,44.0005278200764,1.75,0.8994721799236022,1.0.00,1.0.00_0
51,veh_12,vehicle,0.5663956383155195,1.75,4.59915218864547,1.0.00,1.0.00_0
51,veh_13,vehicle,14.402930352789113,1.75,4.222796044158003,1.0.00,1.0.00_0
51,veh_14,vehicle,27.310836255740973,1.75,4.179064346754638,1.0.00,1.0.00_0
51,veh_15,vehicle,41.305618962583274,1.75,2.6949088574931257,1.0.00,1.0.00_0
52,veh_13,vehicle,9.095482958095857,1.75,5.307447394693258,1.0.00,1.0.00_0
52,veh_14,vehicle,23.6307744352973,1.75,3.6800618204436715,1.0.00,1.0.00_0
52,veh_15,vehicle,37.345355043858,1.75,3.9602639187252757,1.0.00,1.0.00_0
52,veh_16,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
53,veh_13,vehicle,4.038581735398267,1.75,5.056901222697591,1.0.00,1.0.00_0
53,veh_14,vehicle,19.655570910237675,1.75,3.9752035250596265,1.0.00,1.0.00_0
53,veh_15,vehicle,33.70730983159153,1.75,3.638045212266469,1.0.00,1.0.00_0
53,veh_16,vehicle,44.84696507739889,1.75,0.05303492260110964,1.0.00,1.0.00_0
54,veh_14,vehicle,14.772084462830037,1.75,4.883486447407634,1.0.00,1.0.00_0
54,veh_15,vehicle,29.997332773676845,1.75,3.709977057914683,1.0.00,1.0.00_0
54,veh_16,vehicle,42.53503960172289,1.75,2.3119254756759986,1.0.00,1.0.00_0
55,veh_14,vehicle,10.63962915915291,1.75,4.132455303677128,1.0.00,1.0.00_0
55,veh_15,vehicle,25.76303794321538,1.75,4.234294830461466,1.0.00,1.0.00_0
55,veh_16,vehicle,38.854333756122024,1.75,3.68070584560087,1.0.00,1.0.00_0
56,veh_14,vehicle,6.946632690973281,1.75,3.6929964681796292,1.0.00,1.0.00_0
56,veh_15,vehicle,21.87041967151763,1.75,3.8926182716977458,1.0.00,1.0.00_0
56,veh_16,vehicle,35.46212048681014,1.75,3.392213269311879,1.0.00,1.0.00_0
56,veh_17,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
57,veh_14,vehicle,2.516025427817297,1.75,4.430607263155983,1.0.00,1.0.00_0
57,veh_15,vehicle,17.941444033875463,1.75,3.9289756376421687,1.0.00,1.0.00_0
57,veh_16,vehicle,31.340750418372778,1.75,4.121370068437364,1.0.00,1.0.00_0
57,veh_17,vehicle,43.510076434501585,1.75,1.3899235654984172,1.0.00,1.0.00_0
