step,entity_id,entity_type,x,y,speed,edge_id,lane_id
333,veh_90,vehicle,3.9451175527008573,1.75,4.4740248298145735,1.0.00,1.0.00_0
333,veh_91,vehicle,23.47937927205702,1.75,4.4442021537215,1.0.00,1.0.00_0
334,veh_91,vehicle,20.25145528980498,1.75,3.227923982252043,1.0.00,1.0.00_0
334,veh_92,vehicle,37.9,1.75,0.0,1.0.00,1.0.00_0
335,veh_91,vehicle,16.237498863477256,1.75,4.013956426327724,1.0.00,1.0.00_0
335,veh_92,vehicle,36.16519326369744,1.75,1.734806736302562,1.0.00,1.0.00_0
336,veh_91,vehicle,11.859900572436253,1.75,4.377598291041005,1.0.00,1.0.00_0
336,veh_92,vehicle,33.27059321594755,1.75,2.894600047749887,1.0.00,1.0.00_0
337,veh_91,vehicle,7.986107013113511,1.75,3.873793559322741,1.0.00,1.0.00_0
337,veh_92,vehicle,29.976644490037202,1.75,3.293948725910346,1.0.00,1.0.00_0
338,veh_91,vehicle,3.7445992237730366,1.75,4.241507789340478,1.0.00,1.0.00_0
338,veh_92,vehicle,26.45477492589098,1.75,3.521869564146223,1.0.00,1.0.00_0
339,veh_92,vehicle,22.341218468955905,1.75,4.113556456935081,1.0.00,1.0.00_0
339,veh_93,vehicle,37.9,1.75,0.0,1.0.00,1.0.00_0
340,veh_92,vehicle,19.019316586659052,1.75,3.321901882296848,1.0.00,1.0.00_0
340,veh_93,vehicle,36.987962407556026,1.75,0.9120375924439745,1.0.00,1.0.00_0
341,veh_92,vehicle,15.494510758105939,1.75,3.524805828553113,1.0.00,1.0.00_0
341,veh_93,vehicle,33.59342188177793,1.75,3.394540525778098,1.0.00,1.0.00_0
342,veh_92,vehicle,11.658500531688183,1.75,3.836010226417753,1.0.00,1.0.00_0
342,veh_93,vehicle,30.630036289287073,1.75,2.963385592490855,1.0.00,1.0.00_0
343,veh_92,vehicle,7.85797968108988,1.75,3.800520850598301,1.0.00,1.0.00_0
343,veh_93,vehicle,26.64312369392611,1.75,3.986912595360962,1.0.00,1.0.00_0
344,veh_92,vehicle,4.490745528328169,1.75,3.367234152761708,1.0.00,1.0.00_0
344,veh_93,vehicle,22.60311819275598,1.75,4.040005501170134,1.0.00,1.0.00_0
344,veh_94,vehicle,37.9,1.75,0.0,1.0.00,1.0.00_0
345,veh_92,vehicle,0.9471763860066247,1.75,3.5435691423215445,1.0.00,1.0.00_0
345,veh_93,vehicle,20.130431022640256,1.75,2.4726871701157243,1.0.00,1.0.00_0
345,veh_94,vehicle,37.44072620884523,1.75,0.45927379115477335,1.0.00,1.0.00_0
346,veh_93,vehicle,15.59346672077217,1.75,4.536964301868086,1.0.00,1.0.00_0
346,veh_94,vehicle,35.088974471697526,1.75,2.3517517371477052,1.0.00,1.0.00_0
347,veh_93,vehicle,11.868752400414834,1.75,3.7247143203573376,1.0.00,1.0.00_0
347,veh_94,vehicle,30.398230965546528,1.75,4.690743506150995,1.0.00,1.0.00_0
348,veh_93,vehicle,7.782844035612783,1.75,4.085908364802048,1.0.00,1.0.00_0
348,veh_94,vehicle,27.59599600525089,1.75,2.802234960295639,1.0.00,1.0.00_0
349,veh_93,vehicle,3.374950527853315,1.75,4.407893507759467,1.0.00,1.0.00_0
349,veh_94,vehicle,22.975184910351036,1.75,4.620811094899853,1.0.00,1.0.00_0
349,veh_95,vehicle,37.9,1.75,0.0,1.0.00,1.0.00_0
350,veh_94,vehicle,18.60348275061165,1.75,4.371702159739386,1.0.00,1.0.00_0
350,veh_95,vehicle,37.49068692416845,1.75,0.4093130758315534,1.0.00,1.0.00_0
351,veh_94,vehicle,13.279407260394514,1.75,5.324075490217136,1.0.00,1.0.00_0
351,veh_95,vehicle,34.78492963932376,1.75,2.705757284844688,1.0.00,1.0.00_0
352,veh_94,vehicle,8.655582511411424,1.75,4.623824748983086,1.0.00,1.0.00_0
352,veh_95,vehicle,30.317024377491098,1.75,4.4679052618326605,1.0.00,1.0.00_0
353,veh_94,vehicle,3.384722983004494,1.75,5.270859528406934,1.0.00,1.0.00_0
353,veh_95,vehicle,25.842982229302038,1.75,4.474042148189058,1.0.00,1.0.00_0
354,veh_95,vehicle,21.21645315265372,1.75,4.626529076648316,1.0.00,1.0.00_0
354,veh_96,vehicle,37.9,1.75,0.0,1.0.00,1.0.00_0
355,veh_95,vehicle,16.65038616132602,1.75,4.566066991327701,1.0.00,1.0.00_0
355,veh_96,vehicle,35.86968392919569,1.75,2.0303160708043144,1.0.00,1.0.00_0
356,veh_95,vehicle,12.414764901476133,1.75,4.235621259849889,1.0.00,1.0.00_0
356,veh_96,vehicle,31.483792604693328,1.75,4.385891324502357,1.0.00,1.0.00_0
