step,entity_id,entity_type,x,y,speed,edge_id,lane_id
32,veh_6,vehicle,1.3001580876678034,1.75,4.313877452254295,1.0.00,1.0.00_0
32,veh_7,vehicle,15.390806956376679,1.75,3.7635801197914405,1.0.00,1.0.00_0
32,veh_8,vehicle,26.69334348546414,1.75,4.2838459421834,1.0.00,1.0.00_0
32,veh_9,vehicle,38.51522779901026,1.75,4.055985526964266,1.0.00,1.0.00_0
33,veh_10,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
33,veh_7,vehicle,11.9653039812127,1.75,3.425502975163981,1.0.00,1.0.00_0
33,veh_8,vehicle,23.253201510171206,1.75,3.4401419752929363,1.0.00,1.0.00_0
33,veh_9,vehicle,34.49231817324812,1.75,4.022909625762142,1.0.00,1.0.00_0
34,veh_10,vehicle,42.60121138279792,1.75,2.298788617202081,1.0.00,1.0.00_0
34,veh_7,vehicle,7.946827229677503,1.75,4.018476751535199,1.0.00,1.0.00_0
34,veh_8,vehicle,20.15534390139001,1.75,3.0978576087811955,1.0.00,1.0.00_0
34,veh_9,vehicle,31.10847542515936,1.75,3.3838427480887643,1.0.00,1.0.00_0
35,veh_10,vehicle,39.44000583541932,1.75,3.1612055473785983,1.0.00,1.0.00_0
35,veh_7,vehicle,3.728267649618715,1.75,4.21855958005879,1.0.00,1.0.00_0
35,veh_8,vehicle,15.722698318472403,1.75,4.432645582917611,1.0.00,1.0.00_0
35,veh_9,vehicle,28.4397152757503,1.75,2.6687601494090614,1.0.00,1.0.00_0
36,veh_10,vehicle,37.06737414209525,1.75,2.372631693324071,1.0.00,1.0.00_0
36,veh_11,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
36,veh_8,vehicle,11.964515807512953,1.75,3.758182510959449,1.0.00,1.0.00_0
36,veh_9,vehicle,25.078800867355234,1.75,3.3609144083950664,1.0.00,1.0.00_0
37,veh_10,vehicle,33.708860387369796,1.75,3.358513754725454,1.0.00,1.0.00_0
37,veh_11,vehicle,44.66930512763558,1.75,0.23069487236441732,1.0.00,1.0.00_0
37,veh_8,vehicle,8.410082722304196,1.75,3.5544330852087587,1.0.00,1.0.00_0
37,veh_9,vehicle,21.796850500063776,1.75,3.2819503672914574,1.0.00,1.0.00_0
38,veh_10,vehicle,30.266980723517754,1.75,3.4418796638520437,1.0.00,1.0.00_0
38,veh_11,vehicle,42.387274382561415,1.75,2.2820307450741684,1.0.00,1.0.00_0
38,veh_8,vehicle,3.891011650059177,1.75,4.5190710722450165,1.0.00,1.0.00_0
38,veh_9,vehicle,17.626684966232432,1.75,4.170165533831343,1.0.00,1.0.00_0
39,veh_10,vehicle,25.84209673953363,1.75,4.424883983984125,1.0.00,1.0.00_0
39,veh_11,vehicle,38.395471409515835,1.75,3.9918029730455826,1.0.00,1.0.00_0
39,veh_9,vehicle,13.715123022848545,1.75,3.911561943383887,1.0.00,1.0.00_0
40,veh_10,vehicle,22.059162869049743,1.75,3.7829338704838893,1.0.00,1.0.00_0
40,veh_11,vehicle,33.6387571716023,1.75,4.756714237913529,1.0.00,1.0.00_0
40,veh_12,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
40,veh_9,vehicle,10.130657308953616,1.75,3.5844657138949256,1.0.00,1.0.00_0
41,veh_10,vehicle,18.59618130252583,1.75,3.4629815665239065,1.0.00,1.0.00_0
41,veh_11,vehicle,30.244203554094344,1.75,3.3945536175079556,1.0.00,1.0.00_0
41,veh_12,vehicle,42.79540555390995,1.75,2.10459444609005,1.0.00,1.0.00_0
41,veh_9,vehicle,6.759382322902596,1.75,3.3712749860510227,1.0.00,1.0.00_0
42,veh_10,vehicle,14.349392138287229,1.75,4.2467891642386055,1.0.00,1.0.00_0
42,veh_11,vehicle,27.145342474764014,1.75,3.09886107933033,1.0.00,1.0.00_0
42,veh_12,vehicle,38.097139515145685,1.75,4.6982660387642685,1.0.00,1.0.00_0
42,veh_9,vehicle,3.0834689387854084,1.75,3.6759133841171856,1.0.00,1.0.00_0
43,veh_10,vehicle,10.903818979838668,1.75,3.4455731584485627,1.0.00,1.0.00_0
43,veh_11,vehicle,23.00353818467705,1.75,4.14180429008696,1.0.00,1.0.00_0
43,veh_12,vehicle,35.06728530619925,1.75,3.029854208946426,1.0.00,1.0.00_0
43,veh_13,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
44,veh_10,vehicle,6.397755964746501,1.75,4.506063015092164,1.0.00,1.0.00_0
44,veh_11,vehicle,18.761475174883653,1.75,4.242063009793403,1.0.00,1.0.00_0
44,veh_12,vehicle,30.809970450144995,1.75,4.2573148560542595,1.0.00,1.0.00_0
44,veh_13,vehicle,43.10499676616046,1.75,1.7950032338395392,1.0.00,1.0.00_0
