step,entity_id,entity_type,x,y,speed,edge_id,lane_id
98,veh_27,vehicle,9.808037805963309,1.75,3.859090518002398,1.0.00,1.0.00_0
98,veh_28,vehicle,22.718515847955366,1.75,3.864874263820705,1.0.00,1.0.00_0
98,veh_29,vehicle,34.173526734891816,1.75,4.436329530216287,1.0.00,1.0.00_0
98,veh_30,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
99,veh_27,vehicle,6.151672386149876,1.75,3.656365419813431,1.0.00,1.0.00_0
99,veh_28,vehicle,18.20441637261142,1.75,4.514099475343944,1.0.00,1.0.00_0
99,veh_29,vehicle,30.854744468983732,1.75,3.3187822659080854,1.0.00,1.0.00_0
99,veh_30,vehicle,42.334329160419294,1.75,2.5656708395807075,1.0.00,1.0.00_0
100,veh_27,vehicle,2.4682376720001926,1.75,3.6834347141496835,1.0.00,1.0.00_0
100,veh_28,vehicle,14.073734190274152,1.75,4.130682182337274,1.0.00,1.0.00_0
100,veh_29,vehicle,26.924128154944167,1.75,3.930616314039566,1.0.00,1.0.00_0
100,veh_30,vehicle,38.802932316441556,1.75,3.5313968439777343,1.0.00,1.0.00_0
101,veh_28,vehicle,10.115868568907494,1.75,3.9578656213666594,1.0.00,1.0.00_0
101,veh_29,vehicle,22.416736978775358,1.75,4.507391176168807,1.0.00,1.0.00_0
101,veh_30,vehicle,34.8031906496021,1.75,3.9997416668394563,1.0.00,1.0.00_0
101,veh_31,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
102,veh_28,vehicle,5.248753356684006,1.75,4.867115212223492,1.0.00,1.0.00_0
102,veh_29,vehicle,18.511252478074987,1.75,3.905484500700376,1.0.00,1.0.00_0
102,veh_30,vehicle,30.804453580167614,1.75,3.9987370694344855,1.0.00,1.0.00_0
102,veh_31,vehicle,43.12220038479816,1.75,1.7777996152018352,1.0.00,1.0.00_0
103,veh_28,vehicle,0.3037968687862218,1.75,4.944956487897783,1.0.00,1.0.00_0
103,veh_29,vehicle,14.812592694886732,1.75,3.698659783188254,1.0.00,1.0.00_0
103,veh_30,vehicle,26.671899846149266,1.75,4.13255373401835,1.0.00,1.0.00_0
103,veh_31,vehicle,38.744681666775946,1.75,4.377518718022217,1.0.00,1.0.00_0
104,veh_29,vehicle,10.348283386994858,1.75,4.464309307891876,1.0.00,1.0.00_0
104,veh_30,vehicle,22.521189902979653,1.75,4.1507099431696135,1.0.00,1.0.00_0
104,veh_31,vehicle,35.106760396392545,1.75,3.6379212703833987,1.0.00,1.0.00_0
104,veh_32,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
105,veh_29,vehicle,5.877119435034466,1.75,4.471163951960393,1.0.00,1.0.00_0
105,veh_30,vehicle,18.169026399855742,1.75,4.352163503123912,1.0.00,1.0.00_0
105,veh_31,vehicle,30.770312750573854,1.75,4.336447645818694,1.0.00,1.0.00_0
105,veh_32,vehicle,42.95920235598679,1.75,1.9407976440132106,1.0.00,1.0.00_0
106,veh_29,vehicle,2.06540422258783,1.75,3.8117152124466376,1.0.00,1.0.00_0
106,veh_30,vehicle,13.823710207547535,1.75,4.345316192308208,1.0.00,1.0.00_0
106,veh_31,vehicle,26.10533940354869,1.75,4.664973347025164,1.0.00,1.0.00_0
106,veh_32,vehicle,38.911037692245756,1.75,4.048164663741036,1.0.00,1.0.00_0
107,veh_30,vehicle,10.186852505018713,1.75,3.636857702528825,1.0.00,1.0.00_0
107,veh_31,vehicle,22.066453391373596,1.75,4.038886012175089,1.0.00,1.0.00_0
107,veh_32,vehicle,34.064828550111486,1.75,4.846209142134267,1.0.00,1.0.00_0
107,veh_33,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
108,veh_30,vehicle,4.850298922579512,1.75,5.336553582439199,1.0.00,1.0.00_0
108,veh_31,vehicle,17.849407028552854,1.75,4.217046362820745,1.0.00,1.0.00_0
108,veh_32,vehicle,30.08162213283449,1.75,3.983206417276996,1.0.00,1.0.00_0
108,veh_33,vehicle,42.857581376144665,1.75,2.0424186238553377,1.0.00,1.0.00_0
109,veh_31,vehicle,12.50502453270579,1.75,5.344382495847066,1.0.00,1.0.00_0
109,veh_32,vehicle,25.77804818994796,1.75,4.303573942886532,1.0.00,1.0.00_0
109,veh_33,vehicle,38.24101806590333,1.75,4.616563310241327,1.0.00,1.0.00_0
110,veh_31,vehicle,7.653520493241274,1.75,4.851504039464519,1.0.00,1.0.00_0
110,veh_32,vehicle,21.576654252303413,1.75,4.201393937644549,1.0.00,1.0.00_0
110,veh_33,vehicle,33.98202026356413,1.75,4.258997802339205,1.0.00,1.0.00_0
110,veh_34,vehicle,44.9,1.75,0.0,1.0.00,1.0.00_0
